随机音乐,#genre#
湖北卫视,https://by2.nxog.fun/vip/nxog.php?c=湖北卫视&key=1a8
广东卫视,https://by2.nxog.fun/vip/nxog.php?c=广东卫视&key=1a8
广西卫视,https://by2.nxog.fun/vip/nxog.php?c=广西卫视&key=1a8
海南卫视,https://by2.nxog.fun/vip/nxog.php?c=海南卫视&key=1a8
四川卫视,https://by2.nxog.fun/vip/nxog.php?c=四川卫视&key=1a8
贵州卫视,https://by2.nxog.fun/vip/nxog.php?c=贵州卫视&key=1a8
云南卫视,https://by2.nxog.fun/vip/nxog.php?c=云南卫视&key=1a8
西藏卫视,https://by2.nxog.fun/vip/nxog.php?c=西藏卫视&key=1a8
陕西卫视,https://by2.nxog.fun/vip/nxog.php?c=陕西卫视&key=1a8
甘肃卫视,https://by2.nxog.fun/vip/nxog.php?c=甘肃卫视&key=1a8
青海卫视,https://by2.nxog.fun/vip/nxog.php?c=青海卫视&key=1a8
宁夏卫视,https://by2.nxog.fun/vip/nxog.php?c=宁夏卫视&key=1a8
新疆卫视,https://by2.nxog.fun/vip/nxog.php?c=新疆卫视&key=1a8
兵团卫视,https://by2.nxog.fun/vip/nxog.php?c=兵团卫视&key=1a8
海峡卫视,https://by2.nxog.fun/vip/nxog.php?c=海峡卫视&key=1a8

其他频道,#genre#
CGTN外语纪录,https://by1.430520.xyz/vip/nxog.php?c=CGTN外语纪录&key=1a8
CGTN阿拉伯语,https://by1.430520.xyz/vip/nxog.php?c=CGTN阿拉伯语&key=1a8
CGTN西班牙语,https://by1.430520.xyz/vip/nxog.php?c=CGTN西班牙语&key=1a8
CGTN法语,https://by1.430520.xyz/vip/nxog.php?c=CGTN法语&key=1a8
CGTN俄语,https://by1.430520.xyz/vip/nxog.php?c=CGTN俄语&key=1a8
老故事,https://by1.430520.xyz/vip/nxog.php?c=老故事&key=1a8
中学生,https://by1.430520.xyz/vip/nxog.php?c=中学生&key=1a8
CGTN,https://by1.430520.xyz/vip/nxog.php?c=CGTN&key=1a8
中国农林卫视,https://by1.430520.xyz/vip/nxog.php?c=中国农林卫视&key=1a8
兵团卫视,https://by1.430520.xyz/vip/nxog.php?c=兵团卫视&key=1a8
辽宁卫视,https://by1.430520.xyz/vip/nxog.php?c=辽宁卫视&key=1a8
上海新闻综合,https://by1.430520.xyz/vip/nxog.php?c=上海新闻综合&key=1a8
上视东方影视,https://by1.430520.xyz/vip/nxog.php?c=上视东方影视&key=1a8
南京新闻综合频道,https://by1.430520.xyz/vip/nxog.php?c=南京新闻综合频道&key=1a8
南京教科频道,https://by1.430520.xyz/vip/nxog.php?c=南京教科频道&key=1a8
南京十八频道,https://by1.430520.xyz/vip/nxog.php?c=南京十八频道&key=1a8
江苏城市频道,https://by1.430520.xyz/vip/nxog.php?c=江苏城市频道&key=1a8
江苏国际,https://by1.430520.xyz/vip/nxog.php?c=江苏国际&key=1a8
江苏教育,https://by1.430520.xyz/vip/nxog.php?c=江苏教育&key=1a8
江苏影视频道,https://by1.430520.xyz/vip/nxog.php?c=江苏影视频道&key=1a8
江苏综艺频道,https://by1.430520.xyz/vip/nxog.php?c=江苏综艺频道&key=1a8
公共新闻频道,https://by1.430520.xyz/vip/nxog.php?c=公共新闻频道&key=1a8
盐城新闻综合,https://by1.430520.xyz/vip/nxog.php?c=盐城新闻综合&key=1a8
淮安新闻综合,https://by1.430520.xyz/vip/nxog.php?c=淮安新闻综合&key=1a8
泰州新闻综合,https://by1.430520.xyz/vip/nxog.php?c=泰州新闻综合&key=1a8
连云港新闻综合,https://by1.430520.xyz/vip/nxog.php?c=连云港新闻综合&key=1a8
宿迁新闻综合,https://by1.430520.xyz/vip/nxog.php?c=宿迁新闻综合&key=1a8
徐州新闻综合,https://by1.430520.xyz/vip/nxog.php?c=徐州新闻综合&key=1a8
优漫卡通频道,https://by1.430520.xyz/vip/nxog.php?c=优漫卡通频道&key=1a8
江阴新闻综合,https://by1.430520.xyz/vip/nxog.php?c=江阴新闻综合&key=1a8
南通新闻综合,https://by1.430520.xyz/vip/nxog.php?c=南通新闻综合&key=1a8
宜兴新闻综合,https://by1.430520.xyz/vip/nxog.php?c=宜兴新闻综合&key=1a8
溧水新闻综合,https://by1.430520.xyz/vip/nxog.php?c=溧水新闻综合&key=1a8
陕西银龄频道,https://by1.430520.xyz/vip/nxog.php?c=陕西银龄频道&key=1a8
陕西都市青春频道,https://by1.430520.xyz/vip/nxog.php?c=陕西都市青春频道&key=1a8
陕西体育休闲频道,https://by1.430520.xyz/vip/nxog.php?c=陕西体育休闲频道&key=1a8
陕西秦腔频道,https://by1.430520.xyz/vip/nxog.php?c=陕西秦腔频道&key=1a8
陕西新闻资讯频道,https://by1.430520.xyz/vip/nxog.php?c=陕西新闻资讯频道&key=1a8
财富天下,https://by1.430520.xyz/vip/nxog.php?c=财富天下&key=1a8
经典香港电影,https://by1.430520.xyz/vip/nxog.php?c=经典香港电影&key=1a8
抗战经典影片,https://by1.430520.xyz/vip/nxog.php?c=抗战经典影片&key=1a8
新片放映厅,https://by1.430520.xyz/vip/nxog.php?c=新片放映厅&key=1a8
CHC影迷电影,https://by1.430520.xyz/vip/nxog.php?c=CHC影迷电影&key=1a8
南方影视,https://by1.430520.xyz/vip/nxog.php?c=南方影视&key=1a8
血色山河·抗日战争影像志,https://by1.430520.xyz/vip/nxog.php?c=血色山河·抗日战争影像志&key=1a8
熊猫频道01高清,https://by1.430520.xyz/vip/nxog.php?c=熊猫频道01高清&key=1a8
最强综艺趴,https://by1.430520.xyz/vip/nxog.php?c=最强综艺趴&key=1a8
嘉佳卡通,https://by1.430520.xyz/vip/nxog.php?c=嘉佳卡通&key=1a8
经典动画大集合,https://by1.430520.xyz/vip/nxog.php?c=经典动画大集合&key=1a8
新动力量创一流,https://by1.430520.xyz/vip/nxog.php?c=新动力量创一流&key=1a8
赛事最经典,https://by1.430520.xyz/vip/nxog.php?c=赛事最经典&key=1a8
体坛名栏汇,https://by1.430520.xyz/vip/nxog.php?c=体坛名栏汇&key=1a8
四海钓鱼,https://by1.430520.xyz/vip/nxog.php?c=四海钓鱼&key=1a8
咪咕24小时体育台,https://by1.430520.xyz/vip/nxog.php?c=咪咕24小时体育台&key=1a8
武术世界,https://by1.430520.xyz/vip/nxog.php?c=武术世界&key=1a8
CETV1,https://by1.430520.xyz/vip/nxog.php?c=CETV1&key=1a8
CETV2,https://by1.430520.xyz/vip/nxog.php?c=CETV2&key=1a8
CETV4,https://by1.430520.xyz/vip/nxog.php?c=CETV4&key=1a8


CGTN外语纪录,https://by2.nxog.fun/vip/nxog.php?c=CGTN外语纪录&key=1a8
CGTN阿拉伯语,https://by2.nxog.fun/vip/nxog.php?c=CGTN阿拉伯语&key=1a8
CGTN西班牙语,https://by2.nxog.fun/vip/nxog.php?c=CGTN西班牙语&key=1a8
CGTN法语,https://by2.nxog.fun/vip/nxog.php?c=CGTN法语&key=1a8
CGTN俄语,https://by2.nxog.fun/vip/nxog.php?c=CGTN俄语&key=1a8
老故事,https://by2.nxog.fun/vip/nxog.php?c=老故事&key=1a8
中学生,https://by2.nxog.fun/vip/nxog.php?c=中学生&key=1a8
CGTN,https://by2.nxog.fun/vip/nxog.php?c=CGTN&key=1a8
中国农林卫视,https://by2.nxog.fun/vip/nxog.php?c=中国农林卫视&key=1a8
兵团卫视,https://by2.nxog.fun/vip/nxog.php?c=兵团卫视&key=1a8
辽宁卫视,https://by2.nxog.fun/vip/nxog.php?c=辽宁卫视&key=1a8
上海新闻综合,https://by2.nxog.fun/vip/nxog.php?c=上海新闻综合&key=1a8
上视东方影视,https://by2.nxog.fun/vip/nxog.php?c=上视东方影视&key=1a8
南京新闻综合频道,https://by2.nxog.fun/vip/nxog.php?c=南京新闻综合频道&key=1a8
南京教科频道,https://by2.nxog.fun/vip/nxog.php?c=南京教科频道&key=1a8
南京十八频道,https://by2.nxog.fun/vip/nxog.php?c=南京十八频道&key=1a8
江苏城市频道,https://by2.nxog.fun/vip/nxog.php?c=江苏城市频道&key=1a8
江苏国际,https://by2.nxog.fun/vip/nxog.php?c=江苏国际&key=1a8
江苏教育,https://by2.nxog.fun/vip/nxog.php?c=江苏教育&key=1a8
江苏影视频道,https://by2.nxog.fun/vip/nxog.php?c=江苏影视频道&key=1a8
江苏综艺频道,https://by2.nxog.fun/vip/nxog.php?c=江苏综艺频道&key=1a8
公共新闻频道,https://by2.nxog.fun/vip/nxog.php?c=公共新闻频道&key=1a8
盐城新闻综合,https://by2.nxog.fun/vip/nxog.php?c=盐城新闻综合&key=1a8
淮安新闻综合,https://by2.nxog.fun/vip/nxog.php?c=淮安新闻综合&key=1a8
泰州新闻综合,https://by2.nxog.fun/vip/nxog.php?c=泰州新闻综合&key=1a8
连云港新闻综合,https://by2.nxog.fun/vip/nxog.php?c=连云港新闻综合&key=1a8
宿迁新闻综合,https://by2.nxog.fun/vip/nxog.php?c=宿迁新闻综合&key=1a8
徐州新闻综合,https://by2.nxog.fun/vip/nxog.php?c=徐州新闻综合&key=1a8
优漫卡通频道,https://by2.nxog.fun/vip/nxog.php?c=优漫卡通频道&key=1a8
江阴新闻综合,https://by2.nxog.fun/vip/nxog.php?c=江阴新闻综合&key=1a8
南通新闻综合,https://by2.nxog.fun/vip/nxog.php?c=南通新闻综合&key=1a8
宜兴新闻综合,https://by2.nxog.fun/vip/nxog.php?c=宜兴新闻综合&key=1a8
溧水新闻综合,https://by2.nxog.fun/vip/nxog.php?c=溧水新闻综合&key=1a8
陕西银龄频道,https://by2.nxog.fun/vip/nxog.php?c=陕西银龄频道&key=1a8
陕西都市青春频道,https://by2.nxog.fun/vip/nxog.php?c=陕西都市青春频道&key=1a8
陕西体育休闲频道,https://by2.nxog.fun/vip/nxog.php?c=陕西体育休闲频道&key=1a8
陕西秦腔频道,https://by2.nxog.fun/vip/nxog.php?c=陕西秦腔频道&key=1a8
陕西新闻资讯频道,https://by2.nxog.fun/vip/nxog.php?c=陕西新闻资讯频道&key=1a8
财富天下,https://by2.nxog.fun/vip/nxog.php?c=财富天下&key=1a8
经典香港电影,https://by2.nxog.fun/vip/nxog.php?c=经典香港电影&key=1a8
抗战经典影片,https://by2.nxog.fun/vip/nxog.php?c=抗战经典影片&key=1a8
新片放映厅,https://by2.nxog.fun/vip/nxog.php?c=新片放映厅&key=1a8
CHC影迷电影,https://by2.nxog.fun/vip/nxog.php?c=CHC影迷电影&key=1a8
南方影视,https://by2.nxog.fun/vip/nxog.php?c=南方影视&key=1a8
血色山河·抗日战争影像志,https://by2.nxog.fun/vip/nxog.php?c=血色山河·抗日战争影像志&key=1a8
熊猫频道01高清,https://by2.nxog.fun/vip/nxog.php?c=熊猫频道01高清&key=1a8
最强综艺趴,https://by2.nxog.fun/vip/nxog.php?c=最强综艺趴&key=1a8
嘉佳卡通,https://by2.nxog.fun/vip/nxog.php?c=嘉佳卡通&key=1a8
经典动画大集合,https://by2.nxog.fun/vip/nxog.php?c=经典动画大集合&key=1a8
新动力量创一流,https://by2.nxog.fun/vip/nxog.php?c=新动力量创一流&key=1a8
赛事最经典,https://by2.nxog.fun/vip/nxog.php?c=赛事最经典&key=1a8
体坛名栏汇,https://by2.nxog.fun/vip/nxog.php?c=体坛名栏汇&key=1a8
四海钓鱼,https://by2.nxog.fun/vip/nxog.php?c=四海钓鱼&key=1a8
咪咕24小时体育台,https://by2.nxog.fun/vip/nxog.php?c=咪咕24小时体育台&key=1a8
武术世界,https://by2.nxog.fun/vip/nxog.php?c=武术世界&key=1a8
CETV1,https://by2.nxog.fun/vip/nxog.php?c=CETV1&key=1a8
CETV2,https://by2.nxog.fun/vip/nxog.php?c=CETV2&key=1a8
CETV4,https://by2.nxog.fun/vip/nxog.php?c=CETV4&key=1a8


虎牙直播,#genre#
虎牙.电影,#genre#
007电影,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=21059585&key=1a8
周润发,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342387&key=1a8
梁家辉,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342429&key=1a8
洪金宝,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11279251&key=1a8
刘德华,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342424&key=1a8
周星驰,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11336587&key=1a8
成龙,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342386&key=1a8
王晶,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11602058&key=1a8
林正英,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342421&key=1a8
周星驰,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342412&key=1a8
我摊牌啦 一起看热门大片,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=880261&key=1a8
【春节贺岁档】神仙打架 看就完事了！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11601986&key=1a8
【虎牙影院】沈腾经典片放映,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11601968&key=1a8
【五福星】每天都要快乐哦,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11282233&key=1a8
超爽动作电影 九龙城寨精武英雄,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=10871113&key=1a8
洪武大案朱元璋惩贪,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11352973&key=1a8
各位观众 五条A！！！！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=21059607&key=1a8
一起来看搞笑恐怖电影 弹幕护体,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11601960&key=1a8
各位观众 请看！！！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342399&key=1a8
经典之作·陆小凤系列,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342427&key=1a8
搞笑喜剧：最佳拍档 精装追女仔,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342423&key=1a8
超级英雄电影·永远的神！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11352950&key=1a8
【女神系列】邱淑贞 王祖贤 张曼玉,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11336571&key=1a8
国产高燃动作电影 姿势要帅,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11602041&key=1a8
校园热血电影，不比古惑仔差,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11352934&key=1a8
喜剧粤语专场 看喜剧笑一笑吧,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11352894&key=1a8
杰森·斯坦森:郭达是你吗,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=21059588&key=1a8
甄子丹 我要打十个,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11352935&key=1a8
si神来了系列  好怕怕,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11352903&key=1a8
一梦中土 沉醉一生,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342385&key=1a8
大佬们的一生 我才是话事人,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=26355853&key=1a8
经典灾难大片 人类在大自然面前不值一提,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=23728647&key=1a8
最新科幻大片 速来认领你的年度颅内狂欢,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11352965&key=1a8
【元宵节快乐】我们一起找乐子,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11602044&key=1a8
【丧尸来啦】搞笑奇葩僵尸,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342422&key=1a8
大场面战争片:一枚核弹爆炸,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=21059574&key=1a8
快意江湖：金庸的武侠世界,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11342435&key=1a8
【叶师傅】我要打十个,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=23829543&key=1a8
首尔之春 这一晚han国发生了什么,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=30080226&key=1a8
热血燃爽！且看中国男儿在线荷尔蒙爆发！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=23728693&key=1a8
【敢死队】肌肉改变世界,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=23864973&key=1a8
关于复仇电影-以牙还牙，以血还血,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=29982645&key=1a8
港片经典系列 不看浑身难受,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=29982660&key=1a8
全世界都钟爱的盗墓电影鼻祖,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11601981&key=1a8
真正高级的恐怖片，就该这么拍！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=26355851&key=1a8
找啊找啊找刺激  恐怖+血腥+惊悚+阴暗,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=30080173&key=1a8
美女与香车齐飞 肾上腺素火速飙升,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=29982635&key=1a8
兰博老矣，尚能饭否,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=26355849&key=1a8
怪兽宇宙电影！哥斯拉大战金刚,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=29982674&key=1a8
[贾玲电影] 人活着，总得拼一次,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=30080235&key=1a8
人性本恶 凶山恶水出刁民,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=29982649&key=1a8
人狠话不多,王宝强经典电影！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=30080251&key=1a8
怪兽打架x异形世界：爽就完事了,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=21059577&key=1a8
古墓系列·去冒险吧！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=11352913&key=1a8
星球大战: 宇宙电影的起点,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=30080234&key=1a8
哈利波特邀请您：霍格沃兹开学啦！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=29982669&key=1a8
枪战还是得看他！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=21059579&key=1a8
特效炸裂！超新科幻电影大合集熬夜也要看！,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=23746486&key=1a8
神作科幻美学！银翼杀手 黑客帝国…,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=29982648&key=1a8
扣人心弦海外悬疑大片 结局超乎想象,https://xn--o02-457ii600m.e.nxog.top/m/tv/dl/huya.php?id=21059530&key=1a8
